Timestamp,Do you have a smartphone?,Are you a regular Internet Subscriber?,What Network do you use for your major Internet Subscription?,How often do you Subscribe for Internet,What is the average amount you spend on Internet? e.g 5000,What is your main purpose of Subscribing ,How satisfied with the Internet service ,Suggestions for improvement
8/29/2023 21:05,Yes,Yes,MTN,Monthly,10000,General Purpose,Satisfied,"I do what is supposed to be a monthly subscription more than ones in a month, that's not fair "
8/30/2023 6:46,Yes,Yes,Airtel,Weekly,10000,General Purpose,Not Satisfied,Data should last long in accordance to actual subscription 
8/30/2023 7:35,Yes,Yes,MTN,Monthly,3500,General Purpose,Satisfied,MTN internet tends to be slow from 12 noon here
8/30/2023 10:54,Yes,Yes,MTN,Monthly,5000,General Purpose,Somewhat Satisfied,Nil
8/30/2023 10:57,Yes,Yes,MTN,Monthly,5000,General Purpose,Somewhat Satisfied,Improving strength of network reception. 
8/30/2023 11:09,Yes,Yes,MTN,Monthly,4500,General Purpose,Somewhat Satisfied,The speed of the internet connection should be increased.
8/30/2023 11:24,Yes,Yes,Airtel,Weekly,5000,General Purpose,Satisfied,Can we have better way to monitor our data use and how it is consumed 
8/30/2023 13:58,Yes,Yes,MTN,Monthly,10000,General Purpose,Very Satisfied,Non
8/31/2023 9:25,Yes,Yes,MTN,Monthly,15000,Work Purpose,Somewhat Satisfied,More data value for subsidized prices and  consistent customers 
8/31/2023 14:20,Yes,Yes,MTN,Monthly,20000,General Purpose,Somewhat Satisfied,PROVIDERS SHOULD INCREASE THE QUALITY OF SERVICE 
9/1/2023 5:23,Yes,Yes,MTN,Weekly,1000,General Purpose,Satisfied,"Data should be made cheaper, because all smart phones works with it"
9/1/2023 12:47,Yes,Yes,MTN,Monthly,7500,General Purpose,Very Satisfied,Reduced the amount of data consumed while surfing internet
9/1/2023 12:57,Yes,Yes,Airtel,Monthly,5000,General Purpose,Satisfied,Reduce the price of data and increase the amount of data
9/4/2023 20:29,Yes,Yes,MTN,Daily,10000,Work Purpose,Very Satisfied,Stronger network
9/4/2023 20:45,Yes,Yes,MTN,Monthly,3000,General Purpose,Somewhat Satisfied,I really have none currently
9/4/2023 21:10,Yes,Yes,Glo,Weekly,500,General Purpose,Satisfied,"That data providers have a able network, especially for academic and work related sites"
9/4/2023 21:52,Yes,Yes,MTN,Monthly,1000,General Purpose,Somewhat Satisfied,Non for now
9/5/2023 0:35,Yes,Yes,Glo,Weekly,4000,General Purpose,Somewhat Satisfied,I don't know how it can be done but the charges should be made less so it can be available to all
9/5/2023 7:26,Yes,Yes,Glo,Weekly,1000,General Purpose,Somewhat Satisfied,"Glo network should me made accessible in any area, it's limited to some areas which causes bad network or emergency network. This should be improved on."
